ts_unix	user_id	side	ts_ms	imu_state_num	imu_state	rep_id	desc_ms	rise_ms	tempo_cv	tempo_score	tempo_level	pitch_deg	pitch_vel_dps
1760875622.96	user_061	L	1251963	0	HOLD	2	602	1111	0.101	90	A_매우안정	-71.91	6.22
1760875623.134	user_061	L	1252064	0	HOLD	2	602	1111	0.101	90	A_매우안정	-61.54	-5.16
1760875623.134	user_061	L	1252166	-1	DESC	2	0	0	0.101	90	A_매우안정	-42.07	-24.69
1760875623.231	user_061	L	1252268	-1	DESC	2	0	0	0.101	90	A_매우안정	-30.63	-32.48
1760875623.426	user_061	L	1252370	-1	DESC	2	0	0	0.101	90	A_매우안정	-20.13	-38.91
1760875623.426	user_061	L	1252472	-1	DESC	2	0	0	0.101	90	A_매우안정	-15.43	-38.81
1760875623.718	user_061	L	1252574	-1	DESC	2	0	0	0.101	90	A_매우안정	-16.14	-34.03
1760875623.718	user_061	L	1252676	-1	DESC	2	0	0	0.101	90	A_매우안정	-21.97	-24.3
1760875623.725	user_061	L	1252778	0	HOLD	2	667	0	0.101	90	A_매우안정	-36.71	-7.53
1760875624.004	user_061	L	1252880	1	RISE	2	667	0	0.101	90	A_매우안정	-54.43	10.27
1760875624.005	user_061	L	1252982	1	RISE	2	667	0	0.101	90	A_매우안정	-67.87	20.87
1760875624.04	user_061	L	1253083	1	RISE	2	667	0	0.101	90	A_매우안정	-76.7	26.33
1760875624.292	user_061	L	1253185	1	RISE	2	667	0	0.101	90	A_매우안정	-82.2	28.22
1760875624.292	user_061	L	1253287	1	RISE	2	667	0	0.101	90	A_매우안정	-81.94	25.08
1760875624.4	user_061	L	1253389	1	RISE	2	667	0	0.101	90	A_매우안정	-73.62	14.94
1760875624.577	user_061	L	1253493	0	HOLD	3	667	556	0.14	86	A_매우안정	-63.7	3.26
1760875624.595	user_061	L	1253593	0	HOLD	3	667	556	0.14	86	A_매우안정	-52.18	-9.34
1760875624.671	user_061	L	1253695	-1	DESC	3	0	0	0.14	86	A_매우안정	-39.76	-19.94
1760875624.864	user_061	L	1253797	-1	DESC	3	0	0	0.14	86	A_매우안정	-31.67	-25.01
1760875624.896	user_061	L	1253899	-1	DESC	3	0	0	0.14	86	A_매우안정	-25.61	-27.89
1760875624.986	user_061	L	1254001	-1	DESC	3	0	0	0.14	86	A_매우안정	-18.76	-30.21
1760875625.156	user_061	L	1254102	-1	DESC	3	0	0	0.14	86	A_매우안정	-13.51	-30.81
1760875625.255	user_061	L	1254205	-1	DESC	3	0	0	0.14	86	A_매우안정	-9.66	-30.61
1760875625.441	user_061	L	1254306	-1	DESC	3	0	0	0.14	86	A_매우안정	-2.25	-34.49
1760875625.441	user_061	L	1254408	-1	DESC	3	0	0	0.14	86	A_매우안정	-2.27	-31.04
1760875625.525	user_061	L	1254510	-1	DESC	3	0	0	0.14	86	A_매우안정	-1.96	-28.08
1760875625.737	user_061	L	1254612	-1	DESC	3	0	0	0.14	86	A_매우안정	-1.78	-25.35
